HA,W_R
2.9033,2.7646
1.6713,3.7676
-1.6122,6.4407
0.3978,4.8044
-2.4228,7.1006
-0.5588,5.5831
-2.7712,7.3842
-2.935,7.5176
-0.7937,5.7744
-0.8923,5.8546
2.6994,2.9306
0.1158,5.0339
-0.0512,5.1699
1.3982,3.9899
1.9619,3.531
1.2553,4.1063
2.5345,3.0649
1.4544,3.9442
-0.8762,5.8415
0.2948,4.8882
2.568,3.0376
-2.9005,7.4895
-0.7625,5.749
-0.0033,5.1309
1.7866,3.6737
-2.2897,6.9923
0.4072,4.7967
-0.7741,5.7584
-1.4185,6.283
2.1889,3.3462
-0.5672,5.59
2.8993,2.7679
-1.1624,6.0745
2.3629,3.2046
-1.4691,6.3242
2.3817,3.1893
1.9353,3.5527
-2.7663,7.3803
-0.9693,5.9173
-1.5988,6.4298
-0.3597,5.421
-1.261,6.1548
-1.8697,6.6503
-2.0821,6.8232
-0.8419,5.8136
2.2125,3.327
2.9845,2.6985
-2.9539,7.533
-0.159,5.2576
1.5588,3.8592
2.504,3.0897
2.8192,2.8331
-1.1703,6.0809
-0.2496,5.3314
-2.096,6.8346
1.4888,3.9162
-1.26,6.154
-1.9769,6.7376
-1.4754,6.3293
-2.4731,7.1416
-2.895,7.485
-0.706,5.703
2.5976,3.0135
-0.8695,5.8361
-0.3236,5.3916
2.7759,2.8683
1.6345,3.7976
-1.7322,6.5384
-0.4648,5.5066
-2.8523,7.4503
-0.7523,5.7407
-0.0868,5.1989
0.7306,4.5334
-1.3985,6.2667
1.677,3.763
3.0409,2.6526
0.5924,4.6459
-0.0498,5.1687
-3.0137,7.5817
-2.0499,6.797
-2.2784,6.9831
1.7924,3.669
-2.5047,7.1673
2.9894,2.6945
-1.0969,6.0212
0.2321,4.9393
-1.0268,5.9641
2.9665,2.7132
2.6074,3.0055
2.1083,3.4118
-1.6964,6.5092
-1.816,6.6066
0.1608,4.9973
-1.92,6.6913
2.6405,2.9786
1.2194,4.1355
-2.8299,7.432
2.5307,3.068
-2.0983,6.8364
3.0704,2.6286
2.0727,3.4408
-1.0534,5.9858
1.3697,4.0131
2.0687,3.4441
3.1001,2.6044
2.1771,3.3558
0.4124,4.7925
-0.0818,5.1948
2.6964,2.9331
-1.0175,5.9566
0.7927,4.4829
1.0656,4.2607
-2.927,7.5111
-0.3558,5.4179
0.3048,4.8801
2.9246,2.7473
-2.8714,7.4658
-0.6013,5.6177
-0.4556,5.4991
-0.1839,5.2779
2.7627,2.8791
-0.337,5.4026
-2.4629,7.1333
0.0502,5.0873
-0.1053,5.2139
2.8231,2.8299
1.5456,3.8699
2.5003,3.0927
-3.0043,7.574
2.9502,2.7264
-2.3889,7.073
-1.0935,6.0184
-1.9231,6.6938
3.0769,2.6233
-2.9247,7.5092
2.1985,3.3384
-0.2113,5.3002
1.7115,3.7349
0.0253,5.1076
0.0008,5.1276
2.0676,3.445
-3.1168,7.6656
-1.333,6.2134
1.777,3.6815
2.1691,3.3623
-1.7527,6.5551
-0.6503,5.6576
0.279,4.9011
2.3913,3.1814
-1.0872,6.0133
-2.2752,6.9805
-2.9538,7.5329
-2.4719,7.1406
1.3353,4.0411
0.122,5.0289
0.3313,4.8585
-0.8711,5.8374
-0.2013,5.2921
-1.2066,6.1105
0.0879,5.0566
0.5815,4.6548
1.0678,4.2589
1.8048,3.6589
0.2762,4.9034
-1.8833,6.6614
2.5076,3.0868
0.9514,4.3537
1.9367,3.5515
-0.3146,5.3843
1.1391,4.2009
-2.0421,6.7907
1.3766,4.0075
0.7274,4.536
1.0496,4.2737
-1.5142,6.3609
0.7429,4.5234
0.7451,4.5216
-2.7469,7.3645
-0.7375,5.7286
0.0353,5.0995
0.1207,5.0299
-1.3643,6.2389
-1.9601,6.7239
0.1638,4.9949
-1.6821,6.4976
2.1561,3.3729
-2.9741,7.5494
1.6888,3.7533
-0.5909,5.6093
2.8106,2.8401
3.1005,2.6041
0.3596,4.8355
-2.7744,7.3869
2.1065,3.4133
1.8325,3.6364
0.8748,4.416
0.4021,4.8009
1.1531,4.1895
0.6151,4.6275
-1.2923,6.1803
-1.0575,5.9891
-2.0039,6.7596
-1.5366,6.3792
2.9256,2.7465
0.8288,4.4535
-1.7358,6.5413
-2.5754,7.2248
0.4268,4.7807
-1.1969,6.1026
1.1589,4.1847
-0.1516,5.2516
-2.8977,7.4872
-2.6247,7.265
2.1022,3.4168
-1.1371,6.0539
-1.602,6.4324
-0.6655,5.67
-2.3308,7.0257
-2.088,6.8281
-1.83,6.618
1.5906,3.8333
1.1117,4.2232
0.2971,4.8863
-0.2561,5.3367
2.175,3.3575
-0.6137,5.6278
1.6533,3.7822
1.8172,3.6488
0.7818,4.4917
-1.1874,6.0949
-0.2971,5.3701
2.8104,2.8403
1.8399,3.6303
-0.4286,5.4771
2.2645,3.2847
-1.8055,6.5981
0.7376,4.5277
0.8359,4.4477
0.3187,4.8688
-0.3649,5.4253
1.2009,4.1505
-2.1268,6.8596
-2.9088,7.4963
-1.3754,6.2479
2.1833,3.3508
0.475,4.7415
1.8529,3.6198
2.246,3.2997
0.6461,4.6022
-0.6951,5.6941
-0.4421,5.4881
2.9141,2.7558
-1.9799,6.74
2.3835,3.1878
-0.1143,5.2213
-2.87,7.4647
-2.3336,7.028
0.412,4.7928
-1.8005,6.594
-2.6833,7.3127
-0.3615,5.4225
-2.2334,6.9464
2.6959,2.9335
2.5491,3.053
-2.8014,7.4088
3.096,2.6077
-2.2252,6.9397
0.563,4.6699
-2.5004,7.1638
1.1386,4.2013
1.5177,3.8926
1.2236,4.1321
-1.1547,6.0682
0.9087,4.3884
0.997,4.3165
-0.987,5.9317
0.5708,4.6635
2.5106,3.0843
1.1555,4.1875
3.1025,2.6025
1.9696,3.5247
-0.991,5.935
1.0144,4.3024
0.4565,4.7566
2.7563,2.8843
2.0258,3.479
1.8186,3.6477
-0.9005,5.8613
-2.0544,6.8007
-1.3522,6.229
-2.2108,6.928
-1.72,6.5285
-0.5853,5.6047
-0.3155,5.3851
2.8653,2.7956
-0.6178,5.6312
-2.5782,7.2271
0.734,4.5307
-1.0376,5.9729
-1.8074,6.5996
-2.5607,7.2129
0.4021,4.8009
-1.1882,6.0955
-2.3748,7.0615
1.1784,4.1689
0.4189,4.7872
-3.0948,7.6477
2.6882,2.9397
-1.9518,6.7172
-0.8767,5.8419
1.7993,3.6634
1.8648,3.6101
2.7428,2.8953
0.3072,4.8781
-1.2268,6.1269
2.0513,3.4582
2.9752,2.7061
-1.6397,6.4631
0.1303,5.0221
-2.9267,7.5108
1.7787,3.6802
-2.2372,6.9495
0.1969,4.9679
-0.125,5.23
2.8276,2.8262
-2.5211,7.1806
1.2537,4.1076
2.0731,3.4405
1.754,3.7003
2.4867,3.1038
-0.4414,5.4875
-0.1192,5.2252
-2.8721,7.4664
3.0072,2.68
-0.4083,5.4606
0.4444,4.7664
2.0804,3.4345
0.1365,5.0171
2.7638,2.8782
-2.9515,7.531
-2.257,6.9656
-2.7079,7.3327
2.6438,2.9759
-1.3923,6.2617
2.2693,3.2808
1.1993,4.1519
-2.7062,7.3313
1.8361,3.6334
-2.7807,7.392
-0.2478,5.3299
-3.0592,7.6187
-0.7514,5.7399
1.3285,4.0467
-0.7647,5.7507
0.2883,4.8935
2.0841,3.4315
-2.3007,7.0012
-2.8621,7.4582
-1.4196,6.2839
-2.3903,7.0742
-1.2018,6.1066
1.4828,3.9211
0.3586,4.8363
2.0409,3.4667
-2.0671,6.811
-2.7604,7.3755
-1.6551,6.4756
0.1569,5.0005
1.9199,3.5652
2.1435,3.3832
3.0909,2.6119
-0.5253,5.5559
0.3687,4.828
-2.4878,7.1535
3.1317,2.5787
-0.9047,5.8647
-1.9391,6.7068
0.5321,4.695
-0.9614,5.9109
1.0283,4.2911
-1.0009,5.943
-0.5471,5.5736
2.8686,2.7929
1.9286,3.5581
-2.9697,7.5458
2.1898,3.3455
-1.4751,6.3291
-3.0024,7.5725
2.7148,2.9181
1.4974,3.9092
1.1168,4.219
1.1479,4.1937
-2.7592,7.3745
-3.0517,7.6126
-2.8809,7.4736
1.2094,4.1436
-0.9793,5.9255
-2.9494,7.5293
2.1124,3.4085
2.4432,3.1392
2.5889,3.0206
-2.5334,7.1907
2.7642,2.8779
-3.0493,7.6106
0.5906,4.6474
2.9434,2.732
-1.1223,6.0419
0.0053,5.1239
-0.9666,5.9151
-0.5398,5.5677
-0.6808,5.6824
-3.037,7.6006
-1.1039,6.0269
-2.525,7.1838
2.1571,3.3721
2.8,2.8487
0.1571,5.0003
-2.3757,7.0623
-0.2594,5.3394
-2.6059,7.2497
2.0826,3.4328
1.9103,3.573
-0.3617,5.4227
-1.0321,5.9684
-2.3078,7.007
-2.2201,6.9356
1.705,3.7402
0.2752,4.9042
-1.4623,6.3187
-1.6333,6.4579
0.5701,4.6641
1.1296,4.2086
0.9016,4.3942
-2.478,7.1456
-2.4381,7.1131
-2.9052,7.4933
-2.6504,7.2859
1.26,4.1024
-2.4114,7.0913
1.2271,4.1292
-1.53,6.3738
2.0891,3.4275
2.5481,3.0538
-2.7963,7.4047
-0.7288,5.7215
3.0741,2.6256
2.1602,3.3696
-1.6218,6.4485
2.0279,3.4773
2.6894,2.9388
0.6872,4.5688
0.3022,4.8822
1.6265,3.8041
-2.7327,7.3529
-1.6905,6.5044
-1.7752,6.5734
3.1124,2.5944
3.0396,2.6537
2.1901,3.3452
-1.6402,6.4635
-0.3585,5.4201
-0.4848,5.5229
1.2769,4.0887
-3.0095,7.5782
-2.258,6.9664
-2.4375,7.1126
0.9773,4.3326
2.2617,3.2869
2.1041,3.4153
-0.0227,5.1467
2.9062,2.7623
1.744,3.7084
-0.7296,5.7222
0.1384,5.0155
-2.2701,6.9763
-0.2654,5.3443
0.3824,4.8169
-1.0258,5.9633
1.6732,3.766
-1.9701,6.7321
-0.5943,5.612
2.9638,2.7154
-2.7995,7.4073
-0.0667,5.1825
-1.9791,6.7394
-2.9846,7.558
0.3822,4.8171
-1.9169,6.6888
0.0864,5.0579
1.3381,4.0389
1.4935,3.9123
2.7253,2.9095
-1.9279,6.6977
1.7515,3.7023
-1.377,6.2492
0.4823,4.7356
-1.6169,6.4445
-1.6655,6.4841
-0.8342,5.8073
0.4037,4.7996
-1.536,6.3787
-1.5685,6.4051
-0.479,5.5182
-1.4517,6.31
-1.9144,6.6867
-0.5364,5.5649
-2.0475,6.7951
1.7333,3.7171
1.6793,3.7611
-3.0697,7.6273
-0.4273,5.4761
-2.5461,7.201
-2.3361,7.03
3.1261,2.5832
-2.8559,7.4532
-0.1817,5.2761
-1.723,6.5309
-1.2797,6.17
2.9184,2.7523
-0.3884,5.4444
2.1357,3.3895
-2.3168,7.0143
-3.1253,7.6725
-0.2675,5.346
0.8546,4.4325
-1.9184,6.69
-1.8317,6.6194
-1.8927,6.6691
-1.8758,6.6553
0.0163,5.1149
1.129,4.2091
0.2357,4.9363
-0.1934,5.2857
-0.8582,5.8269
-3.1173,7.666
0.9329,4.3687
-2.91,7.4972
2.1775,3.3555
0.741,4.525
-0.6617,5.6669
0.3246,4.8639
2.8647,2.796
2.9298,2.743
2.6677,2.9564
-0.6386,5.6481
0.8447,4.4405
-0.8561,5.8252
-0.1699,5.2665
1.219,4.1358
2.2676,3.2821
2.8221,2.8307
2.2299,3.3128
2.0919,3.4252
2.9796,2.7025
-0.8674,5.8344
1.8325,3.6364
-0.8449,5.816
0.1634,4.9952
-0.09,5.2015
-1.8023,6.5955
-0.323,5.3912
-1.8143,6.6052
3.0594,2.6375
2.389,3.1833
1.3719,4.0113
0.5169,4.7074
0.7075,4.5522
1.5869,3.8363
1.4685,3.9327
2.8187,2.8335
1.6305,3.8008
0.4045,4.7989
-2.3017,7.002
-2.8367,7.4376
1.1666,4.1785
-0.0165,5.1416
-1.4067,6.2734
-2.5929,7.2391
-2.8139,7.419
-1.8418,6.6276
2.2109,3.3283
0.5214,4.7037
2.98,2.7022
-0.4951,5.5313
2.6946,2.9345
-0.3188,5.3877
-0.3298,5.3967
-1.6215,6.4483
1.866,3.6091
-0.0264,5.1497
-2.4525,7.1248
-3.0438,7.6062
-0.5695,5.5918
-2.3054,7.005
2.5565,3.047
-1.4411,6.3014
1.65,3.7849
-0.0113,5.1374
-0.1154,5.2222
-2.7967,7.405
-1.6218,6.4485
0.3089,4.8767
-0.0515,5.1701
0.2164,4.952
-2.8308,7.4328
2.2938,3.2608
-2.5845,7.2323
-2.9991,7.5698
-2.1385,6.8692
2.5781,3.0294
2.3934,3.1797
0.3319,4.858
-1.5772,6.4122
-0.2768,5.3535
2.1427,3.3838
-0.3318,5.3983
2.9268,2.7455
2.1465,3.3807
-2.3238,7.02
1.1884,4.1607
1.556,3.8615
0.5633,4.6696
-0.3972,5.4516
2.7245,2.9102
1.8503,3.6219
1.5058,3.9023
-1.5954,6.427
-2.0934,6.8324
-0.1015,5.2108
2.2184,3.3222
1.4593,3.9402
-2.7808,7.3921
-2.5256,7.1843
-0.7912,5.7723
-2.3294,7.0246
0.7834,4.4904
1.2674,4.0964
0.9579,4.3484
-0.4356,5.4828
2.188,3.3469
1.294,4.0748
-0.2229,5.3097
-0.658,5.6639
2.4724,3.1154
2.8883,2.7768
-2.3675,7.0556
-1.0974,6.0216
-0.3142,5.384
2.7724,2.8712
-0.9895,5.9338
-2.4374,7.1125
-1.3529,6.2296
-1.9477,6.7138
2.5974,3.0137
1.3523,4.0273
-1.9973,6.7542
-1.9124,6.6851
2.4688,3.1183
-0.7955,5.7758
3.0285,2.6627
3.0342,2.6581
0.524,4.7016
1.2734,4.0915
-2.7469,7.3645
2.0891,3.4275
2.1241,3.399
-2.8977,7.4872
0.708,4.5518
-1.3576,6.2334
-0.3997,5.4536
-2.0624,6.8072
0.7651,4.5053
1.894,3.5863
0.2074,4.9594
2.196,3.3404
-1.7688,6.5682
-0.4323,5.4801
1.5415,3.8733
1.1451,4.196
2.7615,2.8801
-1.0158,5.9552
0.996,4.3174
-2.8937,7.484
-3.0873,7.6416
-0.128,5.2324
-0.1377,5.2403
-0.654,5.6606
-2.9439,7.5248
1.5943,3.8303
3.123,2.5858
-2.2918,6.994
2.1306,3.3937
-0.8776,5.8427
2.1391,3.3868
-2.7087,7.3334
2.5124,3.0829
-0.8376,5.8101
-0.0014,5.1293
1.6714,3.7675
0.0841,5.0597
-2.6054,7.2493
2.8849,2.7796
0.9913,4.3212
-1.6435,6.4662
-1.6567,6.4769
-1.5542,6.3935
1.0167,4.3005
0.9329,4.3687
-1.7171,6.5261
-0.9138,5.8721
-0.4387,5.4854
-0.0998,5.2095
2.0779,3.4366
-0.2058,5.2957
2.7876,2.8588
2.0809,3.4341
0.4815,4.7362
1.334,4.0422
-0.2668,5.3454
-0.0844,5.1969
-0.8439,5.8152
0.3868,4.8133
-2.4507,7.1233
2.8482,2.8095
2.4655,3.121
0.1143,5.0352
1.3875,3.9986
3.133,2.5776
-0.0824,5.1953
-0.3457,5.4096
-3.1108,7.6607
3.0048,2.682
2.1613,3.3687
-1.875,6.6546
-1.4008,6.2686
-2.0568,6.8027
-0.2363,5.3206
1.5869,3.8363
2.2449,3.3006
1.6041,3.8223
-0.3687,5.4284
-2.2474,6.9578
-1.6229,6.4494
0.0439,5.0925
1.8444,3.6267
-2.139,6.8696
3.1012,2.6035
-0.3223,5.3906
3.1164,2.5911
-0.14,5.2422
0.3517,4.8419
1.9032,3.5788
-0.8131,5.7902
-2.6793,7.3094
-0.5344,5.5633
1.6884,3.7537
1.9961,3.5032
-3.0351,7.5991
1.9477,3.5426
-0.7702,5.7552
-2.5802,7.2288
-2.5359,7.1927
-1.1406,6.0568
0.1151,5.0345
-1.973,6.7344
1.7884,3.6723
-0.2107,5.2997
-2.6169,7.2586
0.5097,4.7133
2.7861,2.86
-0.7983,5.7781
0.1698,4.99
0.0832,5.0605
2.4751,3.1132
-1.3804,6.252
3.037,2.6558
-0.0893,5.2009
0.0458,5.0909
1.4435,3.953
0.1888,4.9745
1.7163,3.731
2.9917,2.6927
-1.7741,6.5725
-1.5718,6.4078
0.385,4.8148
1.4902,3.915
-1.8629,6.6448
1.8765,3.6005
-1.3111,6.1956
-2.6289,7.2684
1.1574,4.186
-2.6209,7.2619
-0.0056,5.1328
-2.6456,7.282
-2.9192,7.5047
-2.2449,6.9558
-1.5748,6.4103
-1.9438,6.7107
-1.0314,5.9679
-2.9882,7.5609
-0.3232,5.3913
-0.9934,5.9369
2.273,3.2777
-0.5811,5.6013
1.9189,3.566
-0.5449,5.5718
0.0245,5.1083
3.0138,2.6747
-0.423,5.4726
-0.3051,5.3766
-2.162,6.8883
-2.4434,7.1174
0.4223,4.7844
0.9612,4.3457
2.487,3.1035
-1.3182,6.2014
1.9941,3.5048
-1.0458,5.9796
-0.3006,5.3729
-1.0353,5.971
1.7779,3.6808
-2.4597,7.1307
-2.9565,7.5351
3.0312,2.6605
2.5643,3.0406
-3.112,7.6617
-2.786,7.3963
-0.2914,5.3654
2.7566,2.884
1.6247,3.8055
1.5481,3.8679
-1.8543,6.6378
-1.0906,6.0161
-2.3693,7.0571
0.0494,5.088
-2.318,7.0153
0.6334,4.6126
-2.1964,6.9163
1.2304,4.1265
