HA,W_L
0.9914,10.1136
-1.0616,5.0996
-2.1451,2.4533
2.9421,14.8778
-0.6898,6.0076
0.7024,9.4078
0.8035,9.6547
0.627,9.2236
-2.9161,0.5703
-0.002,7.6874
1.1631,10.533
0.2186,8.2262
-0.4602,6.5684
0.812,9.6755
2.5307,13.8731
-2.9706,0.4372
0.3014,8.4284
-2.5223,1.5321
-2.959,0.4655
-0.7392,5.887
2.6415,14.1437
-2.5448,1.4771
1.6246,11.6601
0.0483,7.8103
3.0712,15.1931
1.435,11.197
2.8727,14.7083
1.8622,12.2404
-0.2923,6.9784
1.4087,11.1328
-2.4861,1.6205
2.3505,13.433
0.8382,9.7394
-1.2337,4.6792
-1.7429,3.4356
-3.007,0.3483
-1.6128,3.7534
-2.8927,0.6274
0.7577,9.5428
-2.1342,2.4799
-1.8659,3.1352
3.1112,15.2908
-2.4937,1.6019
-0.6065,6.211
-1.7271,3.4742
1.6243,11.6593
1.941,12.4328
2.16,12.9677
-0.2545,7.0707
-1.4445,4.1644
-2.322,2.0213
-1.0741,5.069
-1.4429,4.1683
-1.3512,4.3923
-1.806,3.2815
-1.4298,4.2003
-0.8469,5.6239
-1.6116,3.7563
2.2332,13.1465
1.7387,11.9387
0.469,8.8378
3.0325,15.0986
1.7025,11.8503
1.8995,12.3315
-2.7205,1.048
2.4826,13.7556
-2.3931,1.8476
0.8284,9.7155
-1.2154,4.7239
0.5037,8.9225
2.2949,13.2972
2.3592,13.4542
1.6684,11.7671
0.0227,7.7477
-3.0312,0.2892
-0.5118,6.4423
1.8223,12.1429
2.2656,13.2256
2.7115,14.3146
-1.2675,4.5967
-3.0118,0.3366
0.4442,8.7772
1.8906,12.3097
-1.2034,4.7532
-0.6376,6.1351
-0.2479,7.0869
0.2047,8.1922
-1.0177,5.2068
2.7604,14.4341
0.3042,8.4353
2.5442,13.906
1.3323,10.9462
-1.0219,5.1965
1.4142,11.1462
0.9174,9.9329
-2.5085,1.5658
-1.3101,4.4926
1.2888,10.84
-1.1578,4.8646
1.6791,11.7932
-2.556,1.4498
0.0251,7.7536
-0.251,7.0793
-1.7088,3.5189
-1.9764,2.8653
-1.9834,2.8482
0.2258,8.2438
0.9221,9.9444
1.4398,11.2087
2.1297,12.8937
0.3818,8.6248
0.4855,8.878
1.7686,12.0118
-1.6306,3.7099
2.8687,14.6986
-2.3174,2.0325
0.9068,9.907
1.6785,11.7917
-0.5107,6.445
-0.2083,7.1836
-1.4033,4.265
1.4637,11.2671
-1.7963,3.3052
-2.078,2.6172
-0.2338,7.1213
-0.9082,5.4742
0.5845,9.1198
1.2366,10.7125
-0.0471,7.5773
1.3738,11.0476
0.7685,9.5692
0.2911,8.4033
3.1136,15.2967
-0.5683,6.3043
0.796,9.6364
2.7158,14.3251
2.3975,13.5477
-2.6579,1.2009
-0.9519,5.3675
-2.0056,2.794
0.5709,9.0866
-0.0466,7.5785
0.1645,8.0941
-2.6249,1.2815
0.6323,9.2366
1.2293,10.6946
-2.5508,1.4625
1.0596,10.2802
-0.0059,7.6779
3.1097,15.2872
2.2531,13.1951
-2.3036,2.0662
-0.0054,7.6791
1.5807,11.5529
-1.286,4.5515
-2.7161,1.0588
1.5032,11.3636
0.9081,9.9102
-1.9927,2.8255
0.8948,9.8777
-1.8286,3.2263
1.41,11.136
2.1909,13.0432
-1.3941,4.2875
0.9707,10.0631
3.0586,15.1624
-1.5592,3.8843
-2.9666,0.447
-0.745,5.8728
-2.1753,2.3796
0.7848,9.609
1.6513,11.7253
-2.31,2.0506
1.3919,11.0918
-1.6258,3.7216
-1.9132,3.0197
-2.4342,1.7472
-1.2078,4.7425
2.3082,13.3296
-1.6009,3.7824
-1.0155,5.2121
-1.418,4.2291
2.1903,13.0417
-0.6787,6.0347
-1.6102,3.7597
-0.5544,6.3383
-1.9768,2.8644
1.3619,11.0185
-2.6214,1.29
0.2821,8.3813
-3.041,0.2653
-2.1537,2.4323
-1.3086,4.4963
-1.0122,5.2202
-1.9026,3.0456
1.3774,11.0563
-0.9636,5.3389
1.3674,11.0319
1.072,10.3105
-1.1108,4.9794
1.1109,10.4055
-0.0141,7.6579
-2.625,1.2813
1.612,11.6293
-2.4124,1.8005
2.6538,14.1737
1.6369,11.6901
0.6251,9.219
-2.0363,2.719
0.1022,7.9419
-1.1418,4.9037
-2.8323,0.775
0.599,9.1552
-2.1871,2.3507
-1.5335,3.947
2.0888,12.7938
-2.965,0.4509
-2.5991,1.3445
-0.6499,6.1051
1.4933,11.3394
0.1289,8.0071
-2.5862,1.376
-2.1707,2.3908
1.3631,11.0214
0.2373,8.2719
-2.3168,2.034
1.3998,11.111
-1.9619,2.9007
1.5502,11.4784
1.3044,10.8781
1.198,10.6182
2.3149,13.346
-0.9157,5.4559
0.611,9.1846
2.3319,13.3875
-0.9093,5.4715
-0.4851,6.5075
-1.5255,3.9666
0.7124,9.4322
-1.4553,4.138
-2.0746,2.6255
-0.5195,6.4235
0.7475,9.5179
-1.1744,4.8241
1.8885,12.3046
-1.5641,3.8723
-0.2297,7.1313
-0.6811,6.0289
-2.2987,2.0782
1.7761,12.0301
-1.9079,3.0326
1.3663,11.0292
2.2415,13.1667
1.9931,12.5601
1.8598,12.2345
1.4861,11.3218
-1.953,2.9225
-2.4261,1.767
0.8548,9.78
-2.102,2.5586
-0.3983,6.7195
0.2807,8.3779
-2.8627,0.7007
-1.357,4.3781
-0.8182,5.694
1.7471,11.9593
2.1848,13.0283
0.0156,7.7304
0.4254,8.7313
-2.3198,2.0266
-1.1283,4.9367
1.3514,10.9928
2.2091,13.0876
1.9711,12.5063
0.6988,9.399
1.3811,11.0654
1.0267,10.1998
0.2149,8.2172
-2.1913,2.3405
2.4801,13.7495
1.4742,11.2928
0.5838,9.1181
1.6543,11.7326
-1.7491,3.4205
2.3047,13.3211
1.4412,11.2122
-0.9463,5.3812
-2.7765,0.9112
1.5791,11.549
1.1593,10.5237
-2.9947,0.3783
-0.5119,6.4421
1.3529,10.9965
-1.8876,3.0822
1.1141,10.4133
2.7791,14.4797
-2.0997,2.5642
1.7962,12.0792
-2.9195,0.562
1.9144,12.3679
2.3256,13.3721
-0.2349,7.1186
2.158,12.9628
-0.5728,6.2934
0.6604,9.3052
-1.6246,3.7245
0.303,8.4323
-0.9936,5.2656
-1.1022,5.0004
0.2163,8.2206
-2.7924,0.8724
1.5395,11.4522
1.8239,12.1468
-2.729,1.0272
0.8447,9.7553
-1.945,2.942
-1.4108,4.2467
-0.667,6.0633
-0.6338,6.1444
1.9212,12.3845
-0.783,5.78
0.384,8.6302
0.3553,8.5601
-0.5698,6.3007
-0.1069,7.4312
0.1604,8.0841
1.8837,12.2929
2.4918,13.778
-0.5873,6.2579
2.7952,14.519
-2.7316,1.0209
0.9123,9.9204
0.0587,7.8357
-1.4724,4.0963
-1.9748,2.8692
1.4329,11.1919
0.7646,9.5597
2.2798,13.2603
-0.7518,5.8562
2.4326,13.6335
-0.0419,7.59
1.3863,11.0781
1.6124,11.6303
1.0865,10.3459
-2.9479,0.4926
0.5017,8.9176
-0.6854,6.0183
0.7986,9.6427
1.8461,12.2011
0.1731,8.1151
-1.6641,3.6281
0.4123,8.6993
-2.2858,2.1097
2.8343,14.6145
2.0622,12.7288
-1.7794,3.3465
-0.5949,6.2394
-0.2336,7.1218
-1.3458,4.4054
-0.6219,6.1734
-0.9597,5.3484
-0.3687,6.7918
-0.529,6.4003
2.3966,13.5455
-2.0503,2.6848
-1.278,4.571
-0.219,7.1574
-1.4538,4.1417
1.2014,10.6265
0.8262,9.7101
0.6556,9.2935
0.7937,9.6308
-0.0629,7.5387
1.5462,11.4686
0.4596,8.8148
2.5366,13.8875
-0.7444,5.8743
-0.8951,5.5062
2.0399,12.6744
1.2976,10.8614
-2.841,0.7537
-1.5829,3.8264
-2.4111,1.8037
2.3197,13.3577
-2.1418,2.4614
-3.1052,0.1085
-0.5851,6.2633
-0.1886,7.2317
-2.2609,2.1705
2.5011,13.8008
1.676,11.7856
1.5618,11.5067
0.6009,9.1599
2.1304,12.8954
-2.8649,0.6953
-0.3994,6.7168
1.4105,11.1372
-2.6712,1.1684
-1.06,5.1035
1.9774,12.5217
0.3157,8.4633
-0.6872,6.014
0.2434,8.2868
2.3524,13.4376
0.2747,8.3632
2.6237,14.1002
0.2892,8.3986
-0.1242,7.389
1.0061,10.1495
0.8986,9.887
0.7535,9.5326
-2.2091,2.297
-1.3387,4.4228
-1.8362,3.2077
0.7341,9.4852
-3.0424,0.2618
-2.6221,1.2883
2.5494,13.9187
1.6337,11.6823
-0.5441,6.3634
2.4031,13.5614
1.9015,12.3364
1.5397,11.4527
1.6945,11.8308
2.4993,13.7964
0.0081,7.7121
-1.0018,5.2456
-0.32,6.9108
2.9611,14.9242
-0.4816,6.5161
-2.244,2.2118
0.6673,9.3221
-2.2971,2.0821
-0.3738,6.7794
-1.9669,2.8885
1.5905,11.5768
1.7097,11.8679
3.0715,15.1939
-0.2098,7.1799
-2.4902,1.6105
2.297,13.3023
-2.4237,1.7729
1.2598,10.7691
-0.9951,5.262
-0.111,7.4212
0.8412,9.7468
-1.1619,4.8546
1.6284,11.6694
-2.702,1.0932
0.927,9.9563
0.7418,9.504
-2.8473,0.7383
-1.0106,5.2241
-3.0936,0.1368
2.4268,13.6193
-0.7017,5.9785
2.5782,13.9891
-2.7519,0.9713
1.068,10.3007
3.1317,15.3409
2.7834,14.4902
0.6373,9.2488
-1.7388,3.4456
-1.0819,5.05
2.6137,14.0758
-0.3121,6.9301
1.5807,11.5529
2.4837,13.7583
-0.6155,6.1891
2.2945,13.2962
-0.659,6.0828
2.8758,14.7159
-3.0524,0.2374
-2.2714,2.1448
0.285,8.3884
-0.4797,6.5207
-1.0028,5.2432
2.6475,14.1583
-1.4991,4.031
0.2206,8.2311
-0.5492,6.351
-2.857,0.7146
-0.0074,7.6742
-0.05,7.5702
2.7068,14.3031
2.9134,14.8077
-0.0344,7.6083
2.5847,14.0049
-2.2652,2.16
-1.2408,4.6619
2.2225,13.1203
-1.1174,4.9633
-1.939,2.9567
-1.3089,4.4956
0.5731,9.092
-2.5178,1.5431
0.4805,8.8658
-3.0026,0.359
1.6708,11.7729
-1.1341,4.9225
1.3936,11.0959
2.9827,14.977
0.6015,9.1614
-0.3351,6.8739
0.5206,8.9638
-2.9139,0.5757
-0.9167,5.4534
1.8928,12.3151
-2.3762,1.8889
-1.0144,5.2148
-2.8962,0.6189
-0.5951,6.2389
0.1285,8.0061
2.9054,14.7882
-2.1208,2.5127
0.0513,7.8176
-1.8493,3.1757
1.7996,12.0875
-1.1332,4.9247
-1.3467,4.4033
-0.8928,5.5118
2.755,14.4209
0.3067,8.4414
0.1171,7.9783
-1.2196,4.7137
-1.7721,3.3643
2.66,14.1888
-1.0864,5.039
0.6552,9.2925
2.9901,14.9951
1.4298,11.1843
-2.4619,1.6796
1.0564,10.2724
-1.4919,4.0486
-1.3751,4.3339
2.7416,14.3881
-1.961,2.9029
1.3253,10.9291
-1.9088,3.0304
2.8796,14.7252
2.7955,14.5198
2.7261,14.3503
2.7438,14.3935
-0.9541,5.3621
-2.648,1.2251
-0.3228,6.9039
1.8959,12.3227
0.9546,10.0237
-0.4012,6.7125
2.2224,13.1201
-2.7781,0.9073
-1.8388,3.2014
2.6538,14.1737
0.4873,8.8824
0.4807,8.8663
0.9843,10.0963
-1.8666,3.1335
-1.5378,3.9365
2.0374,12.6683
0.129,8.0074
0.3316,8.5022
0.0023,7.6979
1.5674,11.5204
0.4644,8.8265
2.2695,13.2351
-1.278,4.571
-3.0771,0.1771
-2.4827,1.6288
2.8667,14.6937
-1.465,4.1143
2.3251,13.3709
1.818,12.1324
-2.7242,1.039
-2.9228,0.5539
-0.3435,6.8534
-1.5887,3.8122
-1.6731,3.6061
-1.4766,4.086
-1.1699,4.8351
2.1546,12.9545
-0.7709,5.8095
2.1305,12.8956
1.9949,12.5645
-1.0779,5.0597
0.9597,10.0362
-0.6535,6.0963
-0.6414,6.1258
0.6928,9.3843
0.9421,9.9932
0.195,8.1686
1.9849,12.54
-2.5614,1.4366
-0.3004,6.9586
0.1018,7.9409
-2.2545,2.1861
2.509,13.8201
-3.0604,0.2179
-1.365,4.3586
1.3561,11.0043
0.3423,8.5283
2.1495,12.942
-1.3631,4.3632
1.6786,11.792
-0.6313,6.1505
0.2634,8.3356
1.9028,12.3395
2.6582,14.1844
1.837,12.1788
1.925,12.3937
1.3966,11.1032
1.1869,10.5911
-1.2193,4.7144
0.291,8.403
0.5164,8.9535
0.0088,7.7138
-0.7289,5.9121
1.4618,11.2625
2.4502,13.6764
-1.8852,3.0881
-2.9,0.6096
1.2038,10.6324
-2.4151,1.7939
2.1788,13.0136
1.2299,10.6961
-1.0884,5.0341
0.0073,7.7101
-0.2787,7.0116
2.1787,13.0134
-0.6622,6.075
-2.1424,2.4599
1.7377,11.9363
1.0302,10.2084
-2.9877,0.3954
-3.0182,0.3209
2.3497,13.431
-1.7297,3.4678
1.2038,10.6324
1.988,12.5476
-1.6061,3.7697
-2.7391,1.0026
2.7735,14.466
0.7641,9.5585
-2.0669,2.6443
0.9563,10.0279
2.6762,14.2284
1.1992,10.6211
-0.7201,5.9336
0.3138,8.4587
2.1566,12.9594
0.8639,9.8022
3.1162,15.303
-0.4089,6.6936
1.8302,12.1622
1.0846,10.3412
3.035,15.1047
2.8632,14.6851
0.0571,7.8318
2.5075,13.8164
1.522,11.4095
-2.8,0.8538
1.2366,10.7125
2.3222,13.3638
-1.7026,3.534
-2.1383,2.4699
-0.8322,5.6598
0.2301,8.2543
-2.3277,2.0073
2.6797,14.237
-2.4955,1.5975
1.6781,11.7907
2.3477,13.4261
2.5277,13.8657
-0.7359,5.895
-2.0148,2.7715
-1.9818,2.8521
-0.823,5.6823
0.3764,8.6116
-1.3215,4.4648
0.3641,8.5816
-0.4748,6.5327
-1.4378,4.1808
-2.1868,2.3515
-1.0879,5.0353
-2.7346,1.0136
0.4427,8.7735
-0.5697,6.3009
-2.4551,1.6962
2.4918,13.778
-0.2897,6.9848
-1.1016,5.0019
-3.0786,0.1734
2.3883,13.5253
-1.1345,4.9215
3.0116,15.0476
-0.7112,5.9553
-0.85,5.6163
2.8757,14.7157
1.3892,11.0852
0.054,7.8242
-2.7585,0.9552
0.9625,10.043
-2.3736,1.8952
-0.6585,6.084
0.8997,9.8897
0.0644,7.8496
0.352,8.552
2.2669,13.2288
0.5546,9.0468
0.2885,8.3969
-0.5132,6.4389
-2.4494,1.7101
-2.8084,0.8333
-1.3901,4.2973
-0.4938,6.4863
2.0843,12.7828
2.1906,13.0424
-2.6113,1.3147
-1.8464,3.1828
1.7083,11.8645
-2.5565,1.4485
-0.2753,7.0199
-1.9993,2.8094
-0.2182,7.1594
-0.8035,5.7299
-0.016,7.6532
0.6686,9.3252
-2.8034,0.8455
-0.16,7.3015
-2.3396,1.9783
0.0238,7.7504
0.2851,8.3886
0.6276,9.2251
1.6591,11.7443
0.2091,8.203
1.5813,11.5543
-2.7663,0.9362
1.8779,12.2787
1.9021,12.3378
-0.2149,7.1675
-0.8236,5.6808
-1.3111,4.4902
-1.9268,2.9865
0.5978,9.1523
-2.1059,2.5491
-0.8517,5.6122
-2.0159,2.7689
2.9685,14.9423
-0.6308,6.1517
-2.365,1.9162
-2.5918,1.3623
-1.5764,3.8423
0.7203,9.4515
2.9514,14.9005
1.3937,11.0962
-1.9215,2.9994
-0.7181,5.9385
2.6675,14.2072
2.9499,14.8969
1.0863,10.3454
2.4707,13.7265
1.1177,10.4221
2.3197,13.3577
1.4269,11.1772
-1.4667,4.1102
-1.5244,3.9693
-0.4652,6.5561
-1.3806,4.3205
-0.306,6.945
-0.9283,5.4251
1.4852,11.3196
-0.4431,6.6101
1.7225,11.8992
-2.9817,0.4101
0.8012,9.6491
-1.0434,5.144
1.5523,11.4835
-0.2402,7.1057
-2.7818,0.8983
-0.9854,5.2857
0.2115,8.2089
-0.315,6.923
-2.7334,1.0165
-1.4482,4.1554
-1.3357,4.4301
-1.5273,3.9622
-0.4156,6.6773
-2.1551,2.4289
-0.0837,7.4879
-1.46,4.1265
-1.3353,4.4311
1.5358,11.4432
0.925,9.9514
1.5897,11.5748
0.9053,9.9033
-1.4871,4.0604
0.4438,8.7762
1.0927,10.361
-1.0868,5.038
3.0811,15.2173
-1.5296,3.9566
-2.6788,1.1499
-2.5253,1.5247
1.7719,12.0198
2.1091,12.8434
-2.3166,2.0345
-2.9835,0.4057
2.3926,13.5358
-2.5199,1.5379
2.6665,14.2047
-1.4516,4.1471
2.0128,12.6082
-0.3328,6.8795
-1.6865,3.5734
-1.6803,3.5885
0.4169,8.7105
-2.9336,0.5276
0.8314,9.7228
-2.1056,2.5498
1.4205,11.1616
2.8762,14.7169
-2.3086,2.054
-0.7285,5.9131
1.8019,12.0931
2.9454,14.8859
3.0366,15.1086
-0.3823,6.7586
-2.4582,1.6886
-0.2796,7.0094
-0.8855,5.5296
-0.4402,6.6172
-0.1203,7.3985
-2.1228,2.5078
3.0141,15.0537
2.7669,14.4499
1.9441,12.4404
-1.7546,3.407
-1.7998,3.2966
1.8473,12.204
-1.6177,3.7414
-1.1716,4.8309
0.6829,9.3602
-2.157,2.4242
3.1328,15.3436
2.0152,12.614
1.9788,12.5251
1.3661,11.0287
-0.301,6.9572
-2.0286,2.7378
0.0449,7.802
0.6067,9.1741
-1.8395,3.1997
2.5628,13.9515
-0.612,6.1976
-2.7788,0.9056
2.7965,14.5222
-1.8424,3.1926
-0.6345,6.1427
2.5232,13.8547
2.3278,13.3775
-0.5385,6.3771
-0.4371,6.6248
0.7297,9.4745
-2.6939,1.113
-1.9555,2.9164
-2.2113,2.2916
1.7775,12.0335
-2.6159,1.3035
1.2839,10.828
-1.0036,5.2412
2.1268,12.8866
-1.4847,4.0662
2.0417,12.6788
1.9938,12.5618
2.1588,12.9648
-1.0368,5.1601
2.9458,14.8869
-1.8715,3.1215
-2.8845,0.6475
0.8981,9.8857
-0.9014,5.4908
1.0699,10.3053
-1.587,3.8164
2.435,13.6393
-2.1926,2.3373
1.8429,12.1932
2.1889,13.0383
0.9711,10.064
-0.0037,7.6833
-0.3855,6.7508
2.911,14.8019
0.2523,8.3085
-1.234,4.6785
2.0656,12.7371
0.778,9.5924
-0.897,5.5016
1.0602,10.2816
0.1735,8.116
-2.8644,0.6966
-0.3924,6.7339
-2.8184,0.8089
-1.2289,4.691
2.2142,13.1001
0.5846,9.1201
0.7552,9.5367
2.6548,14.1761
1.3512,10.9924
1.2058,10.6372
0.8385,9.7402
0.6175,9.2004
1.2275,10.6902
1.6895,11.8186
-0.6625,6.0743
-2.7618,0.9471
-2.2599,2.1729
-2.5423,1.4832
2.6803,14.2384
2.4645,13.7114
-2.4523,1.703
-0.9601,5.3474
1.8655,12.2484
0.3675,8.5899
-1.1615,4.8556
2.8544,14.6636
-2.8911,0.6314
-0.5393,6.3752
-1.066,5.0888
-0.9295,5.4222
1.0623,10.2868
0.4425,8.773
1.4511,11.2363
2.6986,14.2831
-2.8874,0.6404
0.0129,7.7238
-2.5634,1.4317
1.0449,10.2443
2.9713,14.9491
-0.6438,6.1199
1.0432,10.2401
0.8,9.6462
0.4018,8.6736
-1.7527,3.4117
0.4189,8.7154
-1.5469,3.9143
-1.5664,3.8667
1.652,11.727
-2.1378,2.4711
3.052,15.1462
1.9547,12.4663
0.4473,8.7848
-2.6642,1.1855
0.242,8.2833
-2.5521,1.4593
-2.46,1.6842
0.7518,9.5284
0.6269,9.2234
-0.6256,6.1644
0.5758,9.0986
1.1755,10.5632
-0.2465,7.0903
1.0718,10.31
-2.9765,0.4228
-1.0626,5.0971
-0.9027,5.4876
3.1186,15.3089
-0.126,7.3846
-0.3743,6.7782
-1.9786,2.86
-1.4007,4.2714
0.2465,8.2943
-2.2807,2.1221
-1.2394,4.6653
0.1959,8.1708
-1.0119,5.2209
0.1735,8.116
-0.6224,6.1722
1.8621,12.2401
2.8521,14.658
-0.255,7.0695
-0.5955,6.2379
-2.2755,2.1348
0.3032,8.4328
-2.944,0.5022
0.0471,7.8073
2.0766,12.764
-2.9701,0.4384
-1.5295,3.9568
1.2474,10.7388
-1.2765,4.5747
-0.027,7.6264
0.4388,8.764
0.1797,8.1312
-2.1562,2.4262
-1.9974,2.814
2.277,13.2534
0.098,7.9317
-0.26,7.0573
2.6922,14.2675
0.1817,8.1361
-3.1185,0.076
-0.2679,7.038
0.0224,7.747
0.768,9.568
-1.1175,4.963
-1.7626,3.3875
-0.7789,5.79
-2.5153,1.5492
1.5663,11.5177
0.7403,9.5003
-2.4244,1.7712
-0.0717,7.5172
1.7236,11.9019
-0.4688,6.5474
0.2836,8.3849
-1.301,4.5149
-2.6797,1.1477
-2.2074,2.3012
3.0982,15.2591
2.2794,13.2593
0.3792,8.6184
0.707,9.419
0.8039,9.6557
1.8898,12.3078
-0.2644,7.0466
0.1345,8.0208
-2.4461,1.7182
2.7011,14.2892
0.2912,8.4035
0.3408,8.5246
2.5184,13.843
-1.7371,3.4498
-3.0848,0.1583
-0.9792,5.3008
-1.9108,3.0255
2.642,14.1449
-2.6117,1.3137
-0.5736,6.2914
-0.1577,7.3072
0.4215,8.7217
0.2185,8.226
-1.0463,5.1369
-2.2229,2.2633
3.0198,15.0676
-0.6968,5.9905
1.4007,11.1132
-2.2414,2.2181
0.0441,7.8
1.2674,10.7877
-0.7174,5.9402
-2.5594,1.4415
-2.651,1.2178
-0.6373,6.1358
0.8248,9.7067
-1.142,4.9032
2.8155,14.5686
-0.6386,6.1326
2.7028,14.2934
1.356,11.0041
2.6849,14.2497
-0.8921,5.5135
0.7149,9.4383
-0.0097,7.6686
-1.6956,3.5511
-1.0808,5.0527
-3.1006,0.1197
-0.6697,6.0567
2.179,13.0141
