HA,W_L
2.7275,7.3487
1.5724,6.4083
-2.1771,3.3558
2.5728,7.2227
2.2491,6.9592
1.3155,6.1992
-2.7813,2.8639
0.2093,5.2986
2.0466,6.7943
1.9599,6.7238
-2.2461,3.2996
0.9787,5.925
-0.8529,4.4339
1.4378,6.2987
-0.9202,4.3791
3.0872,7.6415
-1.6698,3.7688
1.9369,6.705
1.1163,6.037
0.01,5.1363
2.348,7.0397
-2.6646,2.9589
-2.847,2.8105
1.7032,6.5148
-0.7002,4.5582
0.226,5.3122
3.0762,7.6325
-0.4572,4.756
-2.1383,3.3874
1.2947,6.1822
0.0148,5.1403
-2.679,2.9472
-0.9228,4.377
0.2373,5.3214
-1.3658,4.0163
-0.1666,4.9926
2.4899,7.1552
-0.8103,4.4685
0.8678,5.8347
-2.7394,2.8981
-1.7663,3.6903
-0.8614,4.4269
2.9175,7.5033
2.6743,7.3054
-0.8396,4.4447
2.0787,6.8205
1.8418,6.6276
0.958,5.9081
-2.0007,3.4994
0.2684,5.3467
-0.2642,4.9131
0.1045,5.2133
-2.7561,2.8845
-0.7601,4.5094
2.888,7.4793
-3.1151,2.5922
2.2758,6.9809
-1.3903,3.9964
1.6359,6.46
2.3494,7.0409
-1.1427,4.1979
1.2768,6.1677
1.6995,6.5118
-1.2033,4.1486
-1.0912,4.2399
-0.2504,4.9244
0.1331,5.2366
1.161,6.0734
-2.7574,2.8834
1.7632,6.5636
-2.1445,3.3824
-2.7835,2.8622
-2.8221,2.8307
2.5114,7.1727
-2.0921,3.425
-2.2176,3.3229
0.2629,5.3422
1.8881,6.6653
-3.0717,2.6275
2.873,7.4671
0.2868,5.3617
3.084,7.6389
-1.3842,4.0013
-2.4931,3.0986
0.9898,5.934
-1.6005,3.8252
2.9857,7.5589
-0.4032,4.8
-2.6882,2.9397
-1.7418,3.7102
-2.7569,2.8838
2.3775,7.0637
-1.4342,3.9606
1.0072,5.9482
-1.9659,3.5278
1.4452,6.3047
-1.0491,4.2741
0.1716,5.2679
-0.6787,4.5757
0.5407,5.5684
0.5139,5.5466
0.8227,5.798
-2.1204,3.402
0.346,5.4099
-0.8683,4.4213
1.1593,6.072
2.3911,7.0748
0.8225,5.7978
2.0718,6.8149
-2.5142,3.0814
1.9055,6.6795
-1.6773,3.7627
-0.8307,4.4519
2.808,7.4142
2.3481,7.0398
-2.1225,3.4003
1.5882,6.4212
-0.9811,4.3295
-2.7248,2.9099
2.4246,7.1021
1.9293,6.6989
2.8558,7.4531
1.044,5.9781
-2.902,2.7657
-1.085,4.2449
-1.9468,3.5433
2.9117,7.4986
-0.1907,4.973
1.6295,6.4548
0.2051,5.2952
-0.4039,4.7994
-2.749,2.8902
-2.1307,3.3936
-1.8287,3.6395
-2.6744,2.951
0.3944,5.4493
-2.8597,2.8001
-0.3538,4.8402
-2.8693,2.7923
-0.3755,4.8225
1.9545,6.7194
-2.03,3.4756
-1.106,4.2278
1.0374,5.9728
1.4689,6.324
1.2173,6.1192
-1.3211,4.0527
-0.5215,4.7037
-1.2387,4.1198
0.7657,5.7516
2.043,6.7914
2.0389,6.7881
1.0809,6.0082
-0.7103,4.5499
-2.6669,2.9571
1.1265,6.0453
-1.0498,4.2736
0.4804,5.5193
1.3037,6.1896
0.9975,5.9403
1.3827,6.2539
0.5936,5.6115
-2.9011,2.7664
-0.0288,5.1048
0.7785,5.762
-1.3653,4.0167
-0.6861,4.5696
-0.9596,4.347
1.1986,6.104
2.0368,6.7864
-0.3165,4.8705
-0.5211,4.704
-0.4947,4.7255
-1.9244,3.5615
-2.9473,2.7288
-1.1399,4.2002
3.0468,7.6086
-0.392,4.8091
2.987,7.5599
-1.7367,3.7144
-2.0287,3.4766
-2.1286,3.3953
0.5589,5.5832
0.6921,5.6916
0.8037,5.7825
0.8064,5.7847
2.3103,7.009
2.8153,7.4201
-1.3644,4.0174
-3.03,2.6615
1.2388,6.1367
1.1556,6.069
0.1292,5.2334
-1.9267,3.5597
2.1888,6.9101
-0.5941,4.6445
-0.5558,4.6757
1.9843,6.7436
-0.2383,4.9342
-3.0046,2.6822
-0.8521,4.4345
1.9467,6.713
1.8263,6.615
-0.5787,4.6571
-2.6059,3.0067
-2.4375,3.1438
-0.5793,4.6566
-2.057,3.4536
-2.9929,2.6917
-0.5672,4.6664
-1.492,3.9136
1.3246,6.2066
-1.031,4.2889
2.4233,7.101
-2.264,3.2851
0.5893,5.608
-2.8007,2.8481
0.8366,5.8093
-1.7952,3.6667
1.0812,6.0084
1.2179,6.1197
-1.4389,3.9568
1.5445,6.3856
-2.6254,2.9909
-2.1129,3.4081
1.3297,6.2107
-1.9593,3.5331
1.6084,6.4376
2.8561,7.4534
-2.3564,3.2099
-2.5265,3.0714
-0.5448,4.6847
-1.6184,3.8107
0.7963,5.7765
0.8415,5.8133
2.951,7.5306
-1.7437,3.7087
0.6196,5.6326
-2.2204,3.3206
0.7934,5.7741
2.6535,7.2884
-0.8689,4.4208
1.2499,6.1458
-0.9832,4.3278
1.4263,6.2894
-2.601,3.0107
-1.9742,3.521
-1.0255,4.2933
-0.8524,4.4343
-2.3423,3.2213
2.9111,7.4981
-1.1372,4.2024
2.66,7.2937
2.4471,7.1204
1.5115,6.3587
-0.2144,4.9537
0.7068,5.7036
-1.4238,3.9691
-2.9215,2.7498
-2.9693,2.7109
1.596,6.4275
-2.8616,2.7986
-0.0235,5.1091
-2.0915,3.4255
-2.7111,2.9211
2.1945,6.9148
2.9219,7.5069
-0.2214,4.948
1.2276,6.1276
-1.9953,3.5038
-0.848,4.4378
0.5227,5.5537
-1.1739,4.1725
2.9586,7.5368
0.6499,5.6573
1.3478,6.2255
2.2649,6.9721
0.9646,5.9135
1.1222,6.0418
-2.507,3.0872
-2.0792,3.4355
-1.4985,3.9083
-0.3802,4.8187
-0.7233,4.5394
-0.0953,5.0506
0.7641,5.7503
0.5498,5.5758
1.3494,6.2268
-1.1893,4.16
1.9073,6.6809
2.4836,7.1501
1.2922,6.1802
-1.0838,4.2459
-3.006,2.681
2.9022,7.4909
-1.184,4.1643
0.0224,5.1464
-1.2787,4.0872
1.8705,6.651
-2.5743,3.0325
-0.4707,4.745
-2.8763,2.7866
-2.1783,3.3548
2.1131,6.8485
1.5253,6.37
-0.6441,4.6038
-1.4083,3.9817
-0.0739,5.068
2.2452,6.956
3.0197,7.5866
-2.6749,2.9506
1.1982,6.1037
-2.0328,3.4733
1.8502,6.6345
2.1564,6.8837
1.5739,6.4095
2.905,7.4932
0.4619,5.5042
3.1216,7.6695
-2.988,2.6957
-1.6578,3.7786
-0.9034,4.3927
-1.2396,4.119
-2.1445,3.3824
-2.5873,3.0219
-1.442,3.9543
0.7574,5.7448
2.1754,6.8992
2.6134,7.2558
-0.5528,4.6782
2.6322,7.2711
0.8137,5.7906
-3.0908,2.612
-1.8618,3.6125
2.0377,6.7871
-2.0943,3.4232
1.5933,6.4253
-1.774,3.684
3.0,7.5705
-2.9152,2.7549
-2.4074,3.1683
3.0707,7.6281
1.6707,6.4883
0.8532,5.8228
-2.8379,2.8179
2.3308,7.0257
2.2056,6.9238
-2.4671,3.1197
-2.7865,2.8597
1.5998,6.4306
-3.0871,2.615
3.0379,7.6014
3.1303,7.6766
-0.486,4.7326
-0.42,4.7863
0.6061,5.6216
-1.5492,3.867
0.4731,5.5134
-0.7444,4.5222
-1.0276,4.2916
-1.4211,3.9713
-0.5863,4.6509
-1.4404,3.9556
-0.9552,4.3506
0.1193,5.2253
1.4777,6.3312
-2.3157,3.243
1.9701,6.7321
2.2681,6.9747
0.5859,5.6052
0.8285,5.8027
1.9799,6.74
1.712,6.5219
-3.0892,2.6133
-0.8323,4.4506
-0.1852,4.9774
-0.266,4.9117
-1.3032,4.0673
-2.9986,2.687
-0.7474,4.5197
-2.5418,3.0589
-0.088,5.0566
-1.3067,4.0644
-2.2145,3.3254
-3.099,2.6053
-0.6665,4.5856
1.6287,6.4541
-0.209,4.9581
1.623,6.4495
1.6995,6.5118
0.0476,5.167
0.2156,5.3037
2.9091,7.4965
2.6652,7.298
2.1614,6.8878
2.9033,7.4918
1.6713,6.4888
-1.6122,3.8157
0.3978,5.4521
-2.4228,3.1558
-0.5588,4.6733
-2.7712,2.8722
-2.935,2.7388
-0.7937,4.4821
-0.8923,4.4018
2.6994,7.3258
0.1158,5.2225
-0.0512,5.0865
1.3982,6.2665
1.9619,6.7254
1.2553,6.1501
2.5345,7.1915
1.4544,6.3122
-0.8762,4.4149
0.2948,5.3682
2.568,7.2188
-2.9005,2.7669
-0.7625,4.5075
-0.0033,5.1255
1.7866,6.5827
-2.2897,3.2642
0.4072,5.4597
-0.7741,4.498
-1.4185,3.9734
2.1889,6.9102
-0.5672,4.6664
2.8993,7.4885
-1.1624,4.1819
2.3629,7.0518
-1.4691,3.9322
2.3817,7.0672
1.9353,6.7037
-2.7663,2.8762
-0.9693,4.3391
-1.5988,3.8266
-0.3597,4.8354
-1.261,4.1016
-1.8697,3.6061
-2.0821,3.4332
-0.8419,4.4428
2.2125,6.9294
2.9845,7.5579
-2.9539,2.7234
-0.159,4.9988
1.5588,6.3972
2.504,7.1667
2.8192,7.4233
-1.1703,4.1755
-0.2496,4.925
-2.096,3.4218
1.4888,6.3402
-1.26,4.1024
-1.9769,3.5188
-1.4754,3.9271
-2.4731,3.1148
-2.895,2.7714
-0.706,4.5534
2.5976,7.2429
-0.8695,4.4203
-0.3236,4.8648
2.7759,7.3881
1.6345,6.4589
-1.7322,3.718
-0.4648,4.7498
-2.8523,2.8061
-0.7523,4.5158
-0.0868,5.0575
0.7306,5.723
-1.3985,3.9897
1.677,6.4935
3.0409,7.6038
0.5924,5.6105
-0.0498,5.0877
-3.0137,2.6747
-2.0499,3.4594
-2.2784,3.2734
1.7924,6.5874
-2.5047,3.0891
2.9894,7.5619
-1.0969,4.2352
0.2321,5.3172
-1.0268,4.2923
2.9665,7.5432
2.6074,7.2509
2.1083,6.8446
-1.6964,3.7472
-1.816,3.6498
0.1608,5.2591
-1.92,3.5651
2.6405,7.2778
1.2194,6.1209
-2.8299,2.8244
2.5307,7.1885
-2.0983,3.42
3.0704,7.6278
2.0727,6.8156
-1.0534,4.2706
1.3697,6.2433
2.0687,6.8123
3.1001,7.652
2.1771,6.9006
0.4124,5.4639
-0.0818,5.0616
2.6964,7.3234
-1.0175,4.2999
0.7927,5.7735
1.0656,5.9957
-2.927,2.7453
-0.3558,4.8385
0.3048,5.3763
2.9246,7.5091
-2.8714,2.7906
-0.6013,4.6387
-0.4556,4.7573
-0.1839,4.9785
2.7627,7.3773
-0.337,4.8539
-2.4629,3.1232
0.0502,5.1691
-0.1053,5.0425
2.8231,7.4265
1.5456,6.3865
2.5003,7.1637
-3.0043,2.6824
2.9502,7.53
-2.3889,3.1834
-1.0935,4.238
-1.9231,3.5626
3.0769,7.6331
-2.9247,2.7472
2.1985,6.918
-0.2113,4.9562
1.7115,6.5215
0.0253,5.1488
0.0008,5.1289
2.0676,6.8114
-3.1168,2.5908
-1.333,4.043
1.777,6.5749
2.1691,6.8941
-1.7527,3.7013
-0.6503,4.5988
0.279,5.3553
2.3913,7.075
-1.0872,4.2431
-2.2752,3.276
-2.9538,2.7235
-2.4719,3.1158
1.3353,6.2153
0.122,5.2275
0.3313,5.3979
-0.8711,4.419
-0.2013,4.9643
-1.2066,4.1459
0.0879,5.1998
0.5815,5.6016
1.0678,5.9975
1.8048,6.5975
0.2762,5.3531
-1.8833,3.595
2.5076,7.1696
0.9514,5.9027
1.9367,6.7049
-0.3146,4.8721
1.1391,6.0555
-2.0421,3.4657
1.3766,6.2489
0.7274,5.7204
1.0496,5.9827
-1.5142,3.8955
0.7429,5.733
0.7451,5.7348
-2.7469,2.8919
-0.7375,4.5278
0.0353,5.1569
0.1207,5.2265
-1.3643,4.0175
-1.9601,3.5325
0.1638,5.2616
-1.6821,3.7588
2.1561,6.8835
-2.9741,2.707
1.6888,6.5031
-0.5909,4.6472
2.8106,7.4163
3.1005,7.6523
0.3596,5.421
-2.7744,2.8696
2.1065,6.8431
1.8325,6.62
0.8748,5.8404
0.4021,5.4556
1.1531,6.0669
0.6151,5.629
-1.2923,4.0761
-1.0575,4.2673
-2.0039,3.4968
-1.5366,3.8773
2.9256,7.5099
0.8288,5.8029
-1.7358,3.7151
-2.5754,3.0316
0.4268,5.4757
-1.1969,4.1538
1.1589,6.0717
-0.1516,5.0048
-2.8977,2.7692
-2.6247,2.9914
2.1022,6.8396
-1.1371,4.2025
-1.602,3.824
-0.6655,4.5864
-2.3308,3.2307
-2.088,3.4284
-1.83,3.6384
1.5906,6.4231
1.1117,6.0332
0.2971,5.3701
-0.2561,4.9197
2.175,6.8989
-0.6137,4.6286
1.6533,6.4742
1.8172,6.6076
0.7818,5.7647
-1.1874,4.1615
-0.2971,4.8863
2.8104,7.4162
1.8399,6.6261
-0.4286,4.7793
2.2645,6.9717
-1.8055,3.6583
0.7376,5.7287
0.8359,5.8087
0.3187,5.3877
-0.3649,4.8311
1.2009,6.1059
-2.1268,3.3968
-2.9088,2.7601
-1.3754,4.0085
2.1833,6.9056
0.475,5.5149
1.8529,6.6367
2.246,6.9567
0.6461,5.6542
-0.6951,4.5623
-0.4421,4.7683
2.9141,7.5006
-1.9799,3.5164
2.3835,7.0686
-0.1143,5.0352
-2.87,2.7917
-2.3336,3.2284
0.412,5.4636
-1.8005,3.6624
-2.6833,2.9437
-0.3615,4.8339
-2.2334,3.31
2.6959,7.3229
2.5491,7.2034
-2.8014,2.8476
3.096,7.6487
-2.2252,3.3167
0.563,5.5865
-2.5004,3.0926
1.1386,6.0551
1.5177,6.3638
1.2236,6.1243
-1.1547,4.1882
0.9087,5.868
0.997,5.9399
-0.987,4.3247
0.5708,5.5929
2.5106,7.1721
1.1555,6.0689
3.1025,7.654
1.9696,6.7317
-0.991,4.3214
1.0144,5.954
0.4565,5.4998
2.7563,7.3721
2.0258,6.7774
1.8186,6.6087
-0.9005,4.3951
-2.0544,3.4557
-1.3522,4.0274
-2.2108,3.3284
-1.72,3.7279
-0.5853,4.6517
-0.3155,4.8714
2.8653,7.4609
-0.6178,4.6253
-2.5782,3.0293
0.734,5.7258
-1.0376,4.2835
-1.8074,3.6568
-2.5607,3.0435
0.4021,5.4556
-1.1882,4.1609
-2.3748,3.1949
1.1784,6.0875
0.4189,5.4692
-3.0948,2.6087
2.6882,7.3167
-1.9518,3.5392
-0.8767,4.4145
1.7993,6.593
1.8648,6.6463
2.7428,7.3611
0.3072,5.3783
-1.2268,4.1295
2.0513,6.7982
2.9752,7.5503
-1.6397,3.7933
0.1303,5.2343
-2.9267,2.7456
1.7787,6.5762
-2.2372,3.3069
0.1969,5.2885
-0.125,5.0264
2.8276,7.4302
-2.5211,3.0758
1.2537,6.1488
2.0731,6.8159
1.754,6.5561
2.4867,7.1526
-0.4414,4.7689
-0.1192,5.0312
-2.8721,2.79
3.0072,7.5764
-0.4083,4.7958
0.4444,5.49
2.0804,6.8219
0.1365,5.2393
2.7638,7.3782
-2.9515,2.7254
-2.257,3.2908
-2.7079,2.9237
2.6438,7.2805
-1.3923,3.9947
2.2693,6.9756
1.1993,6.1046
-2.7062,2.9251
1.8361,6.623
-2.7807,2.8644
-0.2478,4.9265
-3.0592,2.6377
-0.7514,4.5165
1.3285,6.2097
-0.7647,4.5057
0.2883,5.3629
2.0841,6.8249
-2.3007,3.2552
-2.8621,2.7982
-1.4196,3.9725
-2.3903,3.1823
-1.2018,4.1498
1.4828,6.3354
0.3586,5.4201
2.0409,6.7897
-2.0671,3.4454
-2.7604,2.881
-1.6551,3.7808
0.1569,5.2559
1.9199,6.6912
2.1435,6.8732
3.0909,7.6445
-0.5253,4.7006
0.3687,5.4284
-2.4878,3.1029
3.1317,7.6777
-0.9047,4.3917
-1.9391,3.5496
0.5321,5.5614
-0.9614,4.3455
1.0283,5.9653
-1.0009,4.3134
-0.5471,4.6828
2.8686,7.4635
1.9286,6.6983
-2.9697,2.7106
2.1898,6.9109
-1.4751,3.9273
-3.0024,2.6839
2.7148,7.3383
1.4974,6.3472
1.1168,6.0374
1.1479,6.0627
-2.7592,2.8819
-3.0517,2.6438
-2.8809,2.7829
1.2094,6.1128
-0.9793,4.331
-2.9494,2.7271
2.1124,6.8479
2.4432,7.1172
2.5889,7.2358
-2.5334,3.0658
2.7642,7.3785
-3.0493,2.6458
0.5906,5.609
2.9434,7.5244
-1.1223,4.2145
0.0053,5.1325
-0.9666,4.3413
-0.5398,4.6888
-0.6808,4.574
-3.037,2.6558
-1.1039,4.2295
-2.525,3.0726
2.1571,6.8843
2.8,7.4077
0.1571,5.2561
-2.3757,3.1941
-0.2594,4.917
-2.6059,3.0067
2.0826,6.8237
1.9103,6.6834
-0.3617,4.8337
-1.0321,4.288
-2.3078,3.2494
-2.2201,3.3208
1.705,6.5162
0.2752,5.3522
-1.4623,3.9377
-1.6333,3.7985
0.5701,5.5923
1.1296,6.0478
0.9016,5.8622
-2.478,3.1109
-2.4381,3.1433
-2.9052,2.7631
-2.6504,2.9705
1.26,6.154
-2.4114,3.1651
1.2271,6.1272
-1.53,3.8826
2.0891,6.8289
2.5481,7.2026
-2.7963,2.8517
-0.7288,4.5349
3.0741,7.6308
2.1602,6.8868
-1.6218,3.8079
2.0279,6.7791
2.6894,7.3177
0.6872,5.6877
0.3022,5.3742
1.6265,6.4523
-2.7327,2.9035
-1.6905,3.752
-1.7752,3.683
3.1124,7.662
3.0396,7.6028
2.1901,6.9112
-1.6402,3.7929
-0.3585,4.8363
-0.4848,4.7335
1.2769,6.1677
-3.0095,2.6782
-2.258,3.29
-2.4375,3.1438
0.9773,5.9238
2.2617,6.9695
2.1041,6.8412
-0.0227,5.1097
2.9062,7.4942
1.744,6.548
-0.7296,4.5342
0.1384,5.2409
-2.2701,3.2801
-0.2654,4.9121
0.3824,5.4395
-1.0258,4.2931
1.6732,6.4904
-1.9701,3.5243
-0.5943,4.6444
2.9638,7.541
-2.7995,2.8491
-0.0667,5.0739
-1.9791,3.517
-2.9846,2.6984
0.3822,5.4394
-1.9169,3.5677
0.0864,5.1985
1.3381,6.2176
1.4935,6.3441
2.7253,7.3469
-1.9279,3.5587
1.7515,6.5541
-1.377,4.0072
0.4823,5.5208
-1.6169,3.8119
-1.6655,3.7723
-0.8342,4.4491
0.4037,5.4569
-1.536,3.8777
-1.5685,3.8513
-0.479,4.7382
-1.4517,3.9464
-1.9144,3.5697
-0.5364,4.6915
-2.0475,3.4613
1.7333,6.5393
1.6793,6.4953
-3.0697,2.6292
-0.4273,4.7803
-2.5461,3.0554
-2.3361,3.2264
3.1261,7.6732
-2.8559,2.8032
-0.1817,4.9803
-1.723,3.7255
-1.2797,4.0864
2.9184,7.5041
-0.3884,4.812
2.1357,6.8669
-2.3168,3.2421
-3.1253,2.5839
-0.2675,4.9104
0.8546,5.8239
-1.9184,3.5664
-1.8317,3.637
-1.8927,3.5874
-1.8758,3.6011
0.0163,5.1415
1.129,6.0473
0.2357,5.3201
-0.1934,4.9708
-0.8582,4.4295
-3.1173,2.5904
0.9329,5.8877
-2.91,2.7592
2.1775,6.9009
0.741,5.7315
-0.6617,4.5895
0.3246,5.3925
2.8647,7.4604
2.9298,7.5134
2.6677,7.3
-0.6386,4.6083
0.8447,5.8159
-0.8561,4.4313
-0.1699,4.9899
1.219,6.1206
2.2676,6.9743
2.8221,7.4257
2.2299,6.9436
2.0919,6.8312
2.9796,7.5539
-0.8674,4.4221
1.8325,6.62
-0.8449,4.4404
0.1634,5.2612
-0.09,5.0549
-1.8023,3.6609
-0.323,4.8652
-1.8143,3.6512
3.0594,7.6189
2.389,7.0731
1.3719,6.2451
0.5169,5.549
0.7075,5.7042
1.5869,6.4201
1.4685,6.3237
2.8187,7.4229
1.6305,6.4556
0.4045,5.4575
-2.3017,3.2544
-2.8367,2.8188
1.1666,6.0779
-0.0165,5.1148
-1.4067,3.983
-2.5929,3.0173
-2.8139,2.8374
-1.8418,3.6288
2.2109,6.9281
0.5214,5.5527
2.98,7.5542
-0.4951,4.7251
2.6946,7.3219
-0.3188,4.8687
-0.3298,4.8597
-1.6215,3.8081
1.866,6.6473
-0.0264,5.1067
-2.4525,3.1316
-3.0438,2.6502
-0.5695,4.6646
-2.3054,3.2514
2.5565,7.2095
-1.4411,3.955
1.65,6.4715
-0.0113,5.119
-0.1154,5.0343
-2.7967,2.8514
-1.6218,3.8079
0.3089,5.3797
-0.0515,5.0863
0.2164,5.3044
-2.8308,2.8236
2.2938,6.9956
-2.5845,3.0242
-2.9991,2.6866
-2.1385,3.3872
2.5781,7.227
2.3934,7.0767
0.3319,5.3984
-1.5772,3.8442
-0.2768,4.9029
2.1427,6.8726
-0.3318,4.8581
2.9268,7.5109
2.1465,6.8757
-2.3238,3.2364
1.1884,6.0957
1.556,6.3949
0.5633,5.5868
-0.3972,4.8048
2.7245,7.3462
1.8503,6.6345
1.5058,6.3541
-1.5954,3.8294
-2.0934,3.424
-0.1015,5.0456
2.2184,6.9342
1.4593,6.3162
-2.7808,2.8643
-2.5256,3.0721
-0.7912,4.4841
-2.3294,3.2318
0.7834,5.766
1.2674,6.16
0.9579,5.908
-0.4356,4.7736
2.188,6.9095
1.294,6.1817
-0.2229,4.9467
-0.658,4.5925
2.4724,7.141
2.8883,7.4796
-2.3675,3.2008
-1.0974,4.2348
-0.3142,4.8724
2.7724,7.3852
-0.9895,4.3227
-2.4374,3.1439
-1.3529,4.0268
-1.9477,3.5426
2.5974,7.2428
1.3523,6.2291
-1.9973,3.5022
-1.9124,3.5713
2.4688,7.1381
-0.7955,4.4806
3.0285,7.5937
3.0342,7.5984
0.524,5.5548
1.2734,6.1649
-2.7469,2.8919
2.0891,6.8289
2.1241,6.8574
-2.8977,2.7692
0.708,5.7046
-1.3576,4.023
-0.3997,4.8028
-2.0624,3.4492
0.7651,5.7511
1.894,6.6701
0.2074,5.297
2.196,6.916
-1.7688,3.6882
-0.4323,4.7763
1.5415,6.3831
1.1451,6.0604
2.7615,7.3763
-1.0158,4.3012
0.996,5.9391
-2.8937,2.7724
-3.0873,2.6148
-0.128,5.024
-0.1377,5.0161
-0.654,4.5958
-2.9439,2.7316
1.5943,6.4261
3.123,7.6706
-2.2918,3.2624
2.1306,6.8627
-0.8776,4.4137
2.1391,6.8697
-2.7087,2.923
2.5124,7.1736
-0.8376,4.4463
-0.0014,5.1271
1.6714,6.4889
0.0841,5.1967
-2.6054,3.0071
2.8849,7.4768
0.9913,5.9352
-1.6435,3.7902
-1.6567,3.7795
-1.5542,3.8629
1.0167,5.9559
0.9329,5.8877
-1.7171,3.7303
-0.9138,4.3843
-0.4387,4.7711
-0.0998,5.047
2.0779,6.8198
-0.2058,4.9607
2.7876,7.3976
2.0809,6.8223
0.4815,5.5202
1.334,6.2142
-0.2668,4.911
-0.0844,5.0595
-0.8439,4.4412
0.3868,5.4431
-2.4507,3.1331
2.8482,7.4469
2.4655,7.1354
0.1143,5.2213
1.3875,6.2578
3.133,7.6788
-0.0824,5.0611
-0.3457,4.8468
-3.1108,2.5957
3.0048,7.5744
2.1613,6.8877
-1.875,3.6018
-1.4008,3.9878
-2.0568,3.4538
-0.2363,4.9358
1.5869,6.4201
2.2449,6.9558
1.6041,6.4341
-0.3687,4.828
-2.2474,3.2986
-1.6229,3.807
0.0439,5.1639
1.8444,6.6297
-2.139,3.3868
3.1012,7.6529
-0.3223,4.8658
3.1164,7.6653
-0.14,5.0142
0.3517,5.4145
1.9032,6.6776
-0.8131,4.4663
-2.6793,2.947
-0.5344,4.6931
1.6884,6.5027
1.9961,6.7532
-3.0351,2.6573
1.9477,6.7138
-0.7702,4.5012
-2.5802,3.0277
-2.5359,3.0637
-1.1406,4.1996
0.1151,5.2219
-1.973,3.522
1.7884,6.5841
-0.2107,4.9567
-2.6169,2.9978
0.5097,5.5432
2.7861,7.3964
-0.7983,4.4783
0.1698,5.2664
0.0832,5.1959
2.4751,7.1432
-1.3804,4.0044
3.037,7.6006
-0.0893,5.0555
0.0458,5.1655
1.4435,6.3034
0.1888,5.2819
1.7163,6.5254
2.9917,7.5638
-1.7741,3.6839
-1.5718,3.8486
0.385,5.4416
1.4902,6.3414
-1.8629,3.6116
1.8765,6.6559
-1.3111,4.0608
-2.6289,2.988
1.1574,6.0704
-2.6209,2.9945
-0.0056,5.1236
-2.6456,2.9744
-2.9192,2.7517
-2.2449,3.3006
-1.5748,3.8462
-1.9438,3.5458
-1.0314,4.2885
-2.9882,2.6955
-0.3232,4.8651
-0.9934,4.3195
2.273,6.9787
-0.5811,4.6551
1.9189,6.6904
-0.5449,4.6846
0.0245,5.1482
3.0138,7.5817
-0.423,4.7838
-0.3051,4.8798
-2.162,3.3681
-2.4434,3.139
0.4223,5.472
0.9612,5.9107
2.487,7.1529
-1.3182,4.0551
1.9941,6.7516
-1.0458,4.2768
-0.3006,4.8835
-1.0353,4.2854
1.7779,6.5756
-2.4597,3.1258
-2.9565,2.7213
3.0312,7.5959
2.5643,7.2158
-3.112,2.5947
-2.786,2.8601
-0.2914,4.891
2.7566,7.3724
1.6247,6.4509
1.5481,6.3885
-1.8543,3.6186
-1.0906,4.2403
-2.3693,3.1994
0.0494,5.1684
-2.318,3.2411
0.6334,5.6439
-2.1964,3.3401
